ID,Name,Equipment,BodyPart,Target,Synergist,URL
0175,Cable Kneeling Crunch,Cable,Waist,Rectus Abdominis,Obliques
0176,Cable Kneeling Triceps Extension,Cable,Upper Arms,Triceps Brachii,
0177,Cable Lateral Pulldown (with rope attachment),Cable,Back,Latissimus Dorsi,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head, Teres Major, Trapezius Lower Fibers, Trapezius Middle Fibers"
0178,Cable Lateral Raise,Cable,Shoulders,Deltoid Lateral,"Deltoid Anterior, Serratus Anterior"
0179,Cable Low Fly,Cable,Chest,Pectoralis Major Clavicular Head,"Biceps Brachii, Deltoid Anterior"
0180,Cable Low Seated Row,Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
0181,Cable Lying Close-grip Curl,Cable,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0182,Cable Lying Close-grip Curl,Cable,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0183,Cable Lying Curl,Cable,Upper Arms,Biceps Brachii,"Brachialis, Brachioradialis"
0184,Cable Lying Extension Pullover (with rope attachment),Cable,Back,Latissimus Dorsi,"Levator Scapulae, Pectoralis Major Sternal Head, Teres Major, Triceps Brachii"
0185,Cable Lying Fly,Cable,Chest,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Deltoid Anterior"
0186,Cable Lying Triceps Extension (version 2),Cable,Upper Arms,Triceps Brachii,
0187,Cable Lying Triceps Extension,Cable,Upper Arms,Triceps Brachii,
0188,Cable Middle Fly,Cable,Chest,Pectoralis Major Sternal Head,"Biceps Brachii, Deltoid Lateral, Pectoralis Major Clavicular Head"
0189,Cable One Arm Bent over Row,Cable,Back,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
